Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR11933486,2020-06-11 09:51:39,2020-06-05 11:38:06,44512839,2230058534,0,50,1106,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933486/SRR11933486.lite.1,SRX8478680,L11,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778624,SAMN15144751,simple,4577,Zea mays,1462_WS2,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,4F4608455C58C27B5C19A95ABCB40EC1,92486EE278C1F619E9B7B12FA57A5318
SRR11933475,2020-06-11 09:51:38,2020-06-05 11:34:39,36324069,1848462293,0,50,657,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933475/SRR11933475.lite.1,SRX8478691,L12,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778634,SAMN15144752,simple,4577,Zea mays,1462_WW,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,CB0B6204B7B90BD86AABF1B21F0A7E65,9D0933C7C96FD931CD344A27D8A7538B
SRR11933272,2020-06-11 09:51:41,2020-06-05 11:29:36,66833762,3371737261,0,50,1539,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933272/SRR11933272.lite.1,SRX8478894,L13,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778836,SAMN15144753,simple,4577,Zea mays,238_WS1,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,23628B041859A873491593A8AED6BB6C,A2E65BBFB5DB860F1F0079AE86FD1683
SRR11933261,2020-06-11 09:51:41,2020-06-05 11:36:32,95555628,4857949948,0,50,2125,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933261/SRR11933261.lite.1,SRX8478905,L14,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778847,SAMN15144754,simple,4577,Zea mays,238_WS2,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,D2DA0F6436584D67E4FBDC6EE181C58E,7A3BCE077E7E9C1B77EBEA116200D155
SRR11933250,2020-06-11 09:51:41,2020-06-05 11:20:21,35239546,1793207859,0,50,624,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933250/SRR11933250.lite.1,SRX8478916,L15,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778860,SAMN15144755,simple,4577,Zea mays,268_WS1,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,6A06BD523949F9082F6445C9E879C053,CF532626B454C28946E8935CF249EDE0
SRR11933040,2020-06-11 09:51:34,2020-06-05 11:11:19,38300226,1916579118,0,50,987,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933040/SRR11933040.lite.1,SRX8478266,L16,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778209,SAMN15144756,simple,4577,Zea mays,268_WS2,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,1BF10CC010DB037DC262718042E14263,CB2809A48FBD954C6D9BD6DBF387814C
SRR11933029,2020-06-11 09:51:34,2020-06-05 11:06:16,32505922,1654151465,0,50,604,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933029/SRR11933029.lite.1,SRX8478277,L17,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778220,SAMN15144757,simple,4577,Zea mays,268_WW,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,3B0784FCB2CEE149D25A2B2650BD6BF6,5AFA0C1F7AFB400B3AFFA392749A149E
SRR11932994,2020-06-11 09:51:35,2020-06-05 11:10:07,66859651,3379742748,0,50,1415,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11932/SRR11932994/SRR11932994.lite.1,SRX8478312,L18,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778255,SAMN15144758,simple,4577,Zea mays,303WX_WS2,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,73F1ABCC96C1ECA0B13BE4C6A17F9533,B6D386D1E5DDCF5804835484992D0D9F
SRR11932983,2020-06-11 09:51:35,2020-06-05 11:12:14,69283186,3499211347,0,50,1591,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11932/SRR11932983/SRR11932983.lite.1,SRX8478323,L19,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778266,SAMN15144759,simple,4577,Zea mays,303WX_WW,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,46AE126B90531FF100F81B2986AF323F,683D7A34E2AF6B592CC77BBA5F66E6E0
SRR11932948,2020-06-11 09:51:35,2020-06-05 11:07:35,65727556,3343757198,0,50,1176,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11932/SRR11932948/SRR11932948.lite.1,SRX8478358,L20,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778301,SAMN15144760,simple,4577,Zea mays,4019_WS1,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,64EF742BB1044FAB46F18B301EBB2725,6E3FC0DD7BF16489E05B9F5A8592D0BB
SRR11932936,2020-06-11 09:51:35,2020-06-05 11:06:20,46256260,2315356893,0,50,1214,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11932/SRR11932936/SRR11932936.lite.1,SRX8478370,L21,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778313,SAMN15144761,simple,4577,Zea mays,4019_WS2,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,AA265A0955125FE1B42E23E38F96CA3F,A0F5CB3A2DD636887A08F8226D980A3C
SRR11932901,2020-06-11 09:51:35,2020-06-05 11:13:50,78835800,3995889067,0,50,1305,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11932/SRR11932901/SRR11932901.lite.1,SRX8478405,L22,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778348,SAMN15144762,simple,4577,Zea mays,4019_WW,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,79D9CC5A1F666D9B02F7EFE799A803DF,0CA365496342A4AA1D8D00419E3444A2
SRR11932890,2020-06-11 09:51:36,2020-06-05 11:03:58,52865703,2588791417,0,48,1516,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11932/SRR11932890/SRR11932890.lite.1,SRX8478416,L23,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778358,SAMN15144763,simple,4577,Zea mays,4F1_WS2,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,1B41623319E88FAACD6CD4DC16C2BC7D,6C86BD51883E05863A9F62E0B6BBF052
SRR11932866,2020-06-11 09:51:36,2020-06-05 11:18:49,97708396,4435270613,0,45,2547,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11932/SRR11932866/SRR11932866.lite.1,SRX8478440,L24,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778383,SAMN15144764,simple,4577,Zea mays,4F1_WW,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,21E9E73FF52F31E0B69125170BCA0737,191FA1C7F18BE084E642EB01C4DB579D
SRR11932855,2020-06-11 09:51:36,2020-06-05 10:57:37,30425189,1546401672,0,50,536,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11932/SRR11932855/SRR11932855.lite.1,SRX8478451,L25,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778394,SAMN15144765,simple,4577,Zea mays,5237_WS1,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,C8E203C873B339938837C1A36F53C4BD,8C0E53AD2E5013DFD3EE8EAD7D3EDEA3
SRR11932844,2020-06-11 09:51:36,2020-06-05 11:00:31,37615619,1886992128,0,50,958,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11932/SRR11932844/SRR11932844.lite.1,SRX8478462,L26,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778404,SAMN15144766,simple,4577,Zea mays,5237_WS2,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,628FC03C343DDE8F9CFCEB0D62E2CA5F,B9D0ABDD3953A18443A4E0F2BEF3D711
SRR11932833,2020-06-11 09:51:36,2020-06-05 10:58:45,29080732,1475842419,0,50,556,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11932/SRR11932833/SRR11932833.lite.1,SRX8478473,L27,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778416,SAMN15144767,simple,4577,Zea mays,5237_WW,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,2C36D6094E826181DDF5B1686D8F5B52,9E47889D7811C6320E8FC5A4EA1111BA
